Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
134,Post-IPO Equity - Firm Capital American Realty Partners,"Asset Management, Financial Services, Lending, Property Management, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Post-IPO Equity,3800000,2017-12-11,2017,,3800000
135,Convertible Note - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Convertible Note,,2021-09-11,2021,,1045650
136,Seed Round - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Seed,1500000,2013-06-05,2013,Seed,131500000
137,Venture Round - Work Nicer Coworking,"Hospitality, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,120000,2015-11-01,2015,,120000
138,Post-IPO Equity - Mosaic Capital,"Banking, Insurance, Real Estate, Venture Capital","Calgary, Alberta, Canada, North America",Post-IPO Equity,10416920,2014-12-19,2014,,54193256
139,Pre Seed Round - Requity Homes,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2020-01-01,2020,Seed,1200000
140,Series A - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Series A,6000000,2014-07-11,2014,Early Stage Venture,131500000
141,Convertible Note - Harper-Swakum Corporation,Real Estate,"Lower Nicola, British Columbia, Canada, North America",Convertible Note,1200000,2013-07-25,2013,,1200000
142,Grant - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Grant,,2019-06-17,2019,,4800000
143,Private Equity Round - Archie,"Building Material, Coworking, Meeting Software, Real Estate, SaaS, Software","Montréal, Quebec, Canada, North America",Private Equity,1000000,2018-04-20,2018,Private Equity,1000000
144,Seed Round - Willow,"Finance, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Seed,1000000,2020-09-16,2020,Seed,1000000
145,Seed Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Seed,,2016-10-05,2016,Seed,6216736
146,Pre Seed Round - BisRing,"Real Estate, Social Network","Richmond Hill, Ontario, Canada, North America",Pre-Seed,224020,2018-07-07,2018,Seed,400020
147,Series A - Aftercad Software,"3D Technology, Architecture, CAD, Construction, Manufacturing, Real Estate, SaaS, Software, Web Development","Vancouver, British Columbia, Canada, North America",Series A,1100000,2007-10-01,2007,Early Stage Venture,1100000
148,Pre Seed Round - Axwell,"Property Management, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,,2016-02-24,2016,Seed,
149,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,103500000,2016-07-26,2016,,578393343
150,Seed Round - Retsly,"Information Technology, Property Management, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Seed,150000,2013-12-10,2013,Seed,541566
151,Pre Seed Round - Guiker,"Internet, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,1600000,2019-10-28,2019,Seed,1600000
152,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,80500000,2019-11-18,2019,,294752000
153,Venture Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2020-09-16,2020,,6216736
154,Venture Round - Falkbuilt,"Construction, Interior Design, Real Estate, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,72654,2019-04-05,2019,,48224298
155,Seed Round - Realvision,"Digital Media, Marketing, Real Estate","Toronto, Ontario, Canada, North America",Seed,1450000,2017-03-15,2017,Seed,1450000
156,Series A - TheRedPin,Real Estate,"Toronto, Ontario, Canada, North America",Series A,3020000,2012-03-01,2012,Early Stage Venture,3020000
157,Equity Crowdfunding - GC Lifeline,"Information Technology, Internet, Real Estate, Software","Edmonton, Alberta, Canada, North America",Equity Crowdfunding,,2015-04-29,2015,,
158,Private Equity Round - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Private Equity,,2017-12-29,2017,Private Equity,3391741
159,Non Equity Assistance - Willful,"Building Material, E-Commerce, Internet, Legal Tech, Real Estate","Toronto, Ontario, Canada, North America",Non-equity Assistance,750000,2021-04-08,2021,,1342257
160,Pre Seed Round - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-01-01,2019,Seed,4800000
161,Post-IPO Equity - CanWel Building Materials Group,"Building Material, Consumer Goods, Manufacturing, Real Estate, Wearables","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,97770792,2017-09-26,2017,,242771392
162,Debt Financing - Trigon Developments,"Logistics, Property Development, Real Estate, Warehousing","Montréal, Quebec, Canada, North America",Debt Financing,1000000,2014-11-11,2014,,1000000
163,Venture Round - nobbas,Real Estate,"Montréal, Quebec, Canada, North America",Venture - Series Unknown,,2017-10-01,2017,,
164,Product Crowdfunding - TZOA,"CleanTech, Commercial Real Estate, Consumer Electronics, Hardware, Internet of Things, Real Estate, Smart Building, Smart Home, Sustainability","Vancouver, British Columbia, Canada, North America",Product Crowdfunding,6523222,2015-06-19,2015,,227633
165,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,115100000,2016-12-22,2016,,578393343
166,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,33759840,2014-11-17,2014,,170915255
167,Venture Round - QuoteToMe,"Construction, Property Management, Real Estate","Edmonton, Alberta, Canada, North America",Venture - Series Unknown,2500000,2021-07-29,2021,,3073370
168,Post-IPO Equity - Parkit Enterprise,"Commercial Real Estate, Parking, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,45261500,2021-03-01,2021,,108122939
169,Post-IPO Equity - Levon Resources,"Mineral, Mining, Natural Resources, Precious Metals, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,900000,2018-02-13,2018,,900000
170,Grant - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Grant,1000000,2017-02-15,2017,,16431871
171,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,198030,2013-07-22,2013,,18410655
172,Grant - Zown,Real Estate,"Toronto, Ontario, Canada, North America",Grant,95000,2020-02-19,2020,,95000
173,Seed Round - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Seed,500000,2017-05-15,2017,Seed,16431871
174,Convertible Note - Roof AI,Real Estate,"Montréal, Quebec, Canada, North America",Convertible Note,100000,2017-02-21,2017,,350000
175,Post-IPO Equity - Tricon Residential,"Property Management, Real Estate, Rental, Venture Capital","Toronto, Ontario, Canada, North America",Post-IPO Equity,56964000,2021-10-06,2021,,672221396
176,Post-IPO Equity - Automotive Properties Real Estate Investment Trust,"Commercial Real Estate, Construction, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,92000000,2019-12-24,2019,,92000000
177,Post-IPO Equity - Stans Energy,"Mining, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,1500000,2010-02-03,2010,,1500000
178,Non Equity Assistance - CondoGenie,"Information Technology, Internet, Real Estate, Software","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2011-01-01,2011,,
179,Pre Seed Round - HILO,"Commercial Real Estate, Communities, Enterprise Software, Real Estate, Residential, SaaS, Smart Building","Toronto, Ontario, Canada, North America",Pre-Seed,115000,2019-05-01,2019,Seed,583765
180,Seed Round - Groupe Landerz,"Commercial Real Estate, Property Development, Real Estate, Real Estate Investment, SaaS, Software","Montreal, Quebec, Canada, North America",Seed,500000,2021-08-31,2021,Seed,500000
181,Debt Financing - Properly,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Debt Financing,10000000,2019-08-13,2019,,202000000
182,Venture Round - Falkbuilt,"Construction, Interior Design, Real Estate, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,3487570,2020-07-17,2020,,48224298
183,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,2550000,2013-11-13,2013,,294752000
184,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1932690,2011-08-31,2011,,29668690
185,Seed Round - Rover Parking,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2017-05-25,2017,Seed,4800
186,Debt Financing - NexusCrowd,"Crowdfunding, Financial Services, Real Estate","Toronto, Ontario, Canada, North America",Debt Financing,540000,2016-06-06,2016,,16040000
187,Post-IPO Debt - CanWel Building Materials Group,"Building Material, Consumer Goods, Manufacturing, Real Estate, Wearables","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,60000000,2018-09-17,2018,,242771392
188,Seed Round - Yardly,"Customer Service, Home and Garden, Home Services, Marketplace, Real Estate","Edmonton, Alberta, Canada, North America",Seed,200000,2018-05-15,2018,Seed,1027329
189,Post-IPO Debt - Home Capital Group,"Banking, Building Material, Financial Services, Real Estate, Residential","Toronto, Ontario, Canada, North America",Post-IPO Debt,,2017-06-21,2017,,500000000
190,Equity Crowdfunding - G&R Management,"Elderly, Health Care, Medical, Real Estate","Toronto, Ontario, Canada, North America",Equity Crowdfunding,,2014-11-05,2014,,
191,Angel Round - 1M,"Real Estate, Retail, Retail Technology","Calgary, Alberta, Canada, North America",Angel,500000,2018-06-18,2018,Seed,500000
192,Angel Round - fypio,"Big Data, Mobile, Real Estate","Toronto, Ontario, Canada, North America",Angel,1400000,2014-12-31,2014,Seed,2400000
193,"Venture Round - JLR, Inc.","Information Technology, Real Estate","Montréal, Quebec, Canada, North America",Venture - Series Unknown,4200000,2016-12-15,2016,,4200000
194,Post-IPO Equity - Fronsac Real Estate Investment Trust,Real Estate,"Pointe-claire, Quebec, Canada, North America",Post-IPO Equity,17249999,2020-11-13,2020,,35249999
195,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,6805197,2013-11-14,2013,,145006567
196,Pre Seed Round - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,800000,2020-02-11,2020,Seed,4800000
197,Pre Seed Round - Propulux,"Blockchain, Property Development, Property Management, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Pre-Seed,10000,2020-10-01,2020,Seed,10000
198,Funding Round - Capital Home Staging & Design,Real Estate,"Ottawa, Ontario, Canada, North America",Funding Round,750000,2019-07-17,2019,,750000
199,Venture Round - Falkbuilt,"Construction, Interior Design, Real Estate, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,1494686,2019-10-01,2019,,48224298
200,Venture Round - HonestDoor,"Analytics, Big Data, Information Technology, Machine Learning, Predictive Analytics, Real Estate","Edmonton, Alberta, Canada, North America",Venture - Series Unknown,,2020-10-14,2020,,2241622
201,Grant - Nesto,"Financial Services, FinTech, Real Estate","Montreal, Quebec, Canada, North America",Grant,15000,2018-11-01,2018,,151354383
202,Post-IPO Equity - Katipult,"Enterprise Software, FinTech, Real Estate, Software","Calgary, Alberta, Canada, North America",Post-IPO Equity,,2017-02-07,2017,,3000000
203,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,71020000,2016-11-09,2016,,294752000
204,Grant - BisRing,"Real Estate, Social Network","Richmond Hill, Ontario, Canada, North America",Grant,6000,2019-09-01,2019,,400020
205,Pre Seed Round - Schedulock,Real Estate,"Ajax, Ontario, Canada, North America",Pre-Seed,,2018-01-01,2018,Seed,
206,Venture Round - iQ Offices,"Leisure, Real Estate, Travel","Toronto, Ontario, Canada, North America",Venture - Series Unknown,10000000,2019-11-22,2019,,10000000
207,Non Equity Assistance - Data Nerds,"Big Data, Cloud Data Services, Data Integration, Real Estate, Software","Kelowna, British Columbia, Canada, North America",Non-equity Assistance,,2017-05-03,2017,,3320000
208,Pre Seed Round - Win-Win Homesharing,"Real Estate, Wellness","Ottawa, Ontario, Canada, North America",Pre-Seed,,2019-01-01,2019,Seed,
209,Equity Crowdfunding - Nanook Eco Log Homes,Real Estate,"Ottawa, Ontario, Canada, North America",Equity Crowdfunding,,2015-01-19,2015,,
210,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,66139375,2015-04-28,2015,,578393343
211,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,25900000,2012-02-28,2012,,170915255
212,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,10000000,2018-03-19,2018,,18410655
213,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,1850000,2015-07-22,2015,,145006567
214,Venture Round - SumoQuote,"Construction, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2018-11-01,2018,,483500
215,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,10481250,2013-02-11,2013,,170915255
216,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,600000,2011-04-01,2011,,29668690
217,Debt Financing - Trademark Homes,"Construction, Property Development, Real Estate","Regina, Saskatchewan, Canada, North America",Debt Financing,,2014-12-05,2014,,
218,Seed Round - Apartmint,"E-Commerce, Online Portals, Real Estate, Rental","Toronto, Ontario, Canada, North America",Seed,100000,2015-10-01,2015,Seed,265000
219,Seed Round - Retsly,"Information Technology, Property Management, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Seed,75000,2013-08-12,2013,Seed,541566
220,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,39549830,2017-06-07,2017,,145006567
221,Pre Seed Round - SingleKey,"Real Estate, Rental","Toronto, Ontario, Canada, North America",Pre-Seed,,2020-01-01,2020,Seed,1500000
222,Pre Seed Round - Marketing Ninjas,"Advertising, Marketing, Real Estate","Edmonton, Alberta, Canada, North America",Pre-Seed,,2019-01-01,2019,Seed,
223,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,5409900,2015-12-10,2015,,29668690
224,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,819060,2013-07-01,2013,,29668690
225,Seed Round - letus (previously RentMoola),"Credit Cards, FinTech, Mobile Payments, Payments, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Seed,,2015-03-01,2015,Seed,10000000
226,Seed Round - BubbleGlass Real Estate Market Forecasting - A Worthwhile PLC Company,"Analytics, Artificial Intelligence, Government, Real Estate, Real Estate Investment","Oakville, Ontario, Canada, North America",Seed,,2017-01-15,2017,Seed,
227,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,8500000,2017-12-21,2017,,145006567
228,Pre Seed Round - Storeo,"Peer to Peer, Real Estate, Rental, Self-Storage, Smart Cities","Toronto, Ontario, Canada, North America",Pre-Seed,,2021-02-05,2021,Seed,
229,Seed Round - Gestion Rodier,"Civil Engineering, Construction, Real Estate","Saint-hyacinthe, Quebec, Canada, North America",Seed,,2010-01-01,2010,Seed,
230,Seed Round - Intelligent City,"Manufacturing, Real Estate, Robotics, Software","Vancouver, British Columbia, Canada, North America",Seed,1500000,2019-12-01,2019,Seed,21217819
231,Seed Round - R-Hauz Solutions Inc.,"Construction, Real Estate","Toronto, Ontario, Canada, North America",Seed,4500000,2020-11-10,2020,Seed,4500000
232,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,4400000,2014-07-31,2014,,29668690
233,Seed Round - Fraction,"Financial Services, FinTech, Lending, Real Estate","Vancouver, British Columbia, Canada, North America",Seed,289000000,2021-02-10,2021,Seed,309200000
234,Series A - Relogix,"Analytics, Business Intelligence, Information Services, Information Technology, Real Estate, SaaS, Software","Ottawa, Ontario, Canada, North America",Series A,4000000,2019-10-03,2019,Early Stage Venture,6400000
235,Equity Crowdfunding - Varxity Development,"EdTech, Education, Real Estate","Red Deer, Alberta, Canada, North America",Equity Crowdfunding,,2014-08-21,2014,,
236,Private Equity Round - Avison Young,"Commercial Real Estate, Real Estate, Retail","Toronto, Ontario, Canada, North America",Private Equity,250000000,2018-07-16,2018,Private Equity,329949311
237,Post-IPO Equity - CanWel Building Materials Group,"Building Material, Consumer Goods, Manufacturing, Real Estate, Wearables","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,,2014-06-10,2014,,242771392
238,Post-IPO Debt - Mosaic Capital,"Banking, Insurance, Real Estate, Venture Capital","Calgary, Alberta, Canada, North America",Post-IPO Debt,15000000,2016-11-10,2016,,54193256
239,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1660000,2015-12-17,2015,,18410655
240,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,30000000,2017-06-28,2017,,294752000
241,Post-IPO Equity - Tribe Property Technologies,"Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,18300000,2022-01-05,2022,,18300000
242,Non Equity Assistance - Roof AI,Real Estate,"Montréal, Quebec, Canada, North America",Non-equity Assistance,,2015-06-30,2015,,350000
243,Grant - Ratio.City,Real Estate,"Toronto, Ontario, Canada, North America",Grant,100000,2018-02-15,2018,,1100000
244,Seed Round - Perch,"Financial Services, Internet, Real Estate","Toronto, Ontario, Canada, North America",Seed,1000000,2021-10-08,2021,Seed,5000000
245,Venture Round - Lamont Land,"Communities, Construction, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,1996-01-01,1996,,
246,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,2000000,2015-02-03,2015,,29668690
247,Private Equity Round - The State Group,"Building Material, CRM, Information Technology, Real Estate","Mississauga, Ontario, Canada, North America",Private Equity,,2018-04-04,2018,Private Equity,
248,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,3782500,2016-09-16,2016,,29668690
249,Pre Seed Round - Storagehotel,"Customer Service, E-Commerce, Real Estate, Real Estate Investment, Self-Storage","Vancouver, British Columbia, Canada, North America",Pre-Seed,,2020-03-25,2020,Seed,
250,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,100979500,2014-10-28,2014,,578393343
251,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,139108,2009-09-17,2009,,18410655
252,Venture Round - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Venture - Series Unknown,522500,2015-09-18,2015,,3391741
253,Post-IPO Equity - ICPEI Holdings,"Consulting, Property Management, Real Estate","Mississauga, Ontario, Canada, North America",Post-IPO Equity,850000,2022-01-04,2022,,850000
254,Venture Round - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Venture - Series Unknown,105000,2015-05-15,2015,,3391741
255,Seed Round - Hauscall,"Consumer Reviews, Lead Generation, Messaging, Mobile Apps, Real Estate, Social CRM","Toronto, Ontario, Canada, North America",Seed,,2014-08-31,2014,Seed,
256,Post-IPO Debt - Pure Multi-Family REIT LP,"Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,23750000,2017-07-10,2017,,92404492
257,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,28751150,2018-01-10,2018,,188471425
258,Post-IPO Equity - MAG Silver Corp.,"Mining, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,50000000,2020-06-30,2020,,92743690
259,Seed Round - Techrangle Inc.,"Apps, Artificial Intelligence, Consulting, E-Commerce, Information Technology, Marketing, Mobile Apps, Real Estate, Software, Web Design","Toronto, Ontario, Canada, North America",Seed,20000,2017-11-01,2017,Seed,20000
260,Venture Round - Keylo,Real Estate,"Edmonton, Alberta, Canada, North America",Venture - Series Unknown,,2017-06-01,2017,,
261,Seed Round - CIRCL,"E-Commerce, Property Management, Real Estate, Rental","Toronto, Ontario, Canada, North America",Seed,,2016-07-01,2016,Seed,
262,Series A - MyFrontSteps,"Real Estate, Social Media, Software","Saskatoon, Manitoba, Canada, North America",Series A,3000000,2008-08-07,2008,Early Stage Venture,3000000
263,Venture Round - NexusCrowd,"Crowdfunding, Financial Services, Real Estate","Toronto, Ontario, Canada, North America",Venture - Series Unknown,15500000,2016-06-07,2016,,16040000
264,Angel Round - Relogix,"Analytics, Business Intelligence, Information Services, Information Technology, Real Estate, SaaS, Software","Ottawa, Ontario, Canada, North America",Angel,,2018-03-25,2018,Seed,6400000
265,Seed Round - Relogix,"Analytics, Business Intelligence, Information Services, Information Technology, Real Estate, SaaS, Software","Ottawa, Ontario, Canada, North America",Seed,1400000,2018-07-12,2018,Seed,6400000
266,Non Equity Assistance - HonestDoor,"Analytics, Big Data, Information Technology, Machine Learning, Predictive Analytics, Real Estate","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2020-01-01,2020,,2241622
267,Non Equity Assistance - AI Shading,"Artificial Intelligence, CleanTech, Environmental Engineering, Green Building, Green Consumer Goods, Internet of Things, Real Estate, Smart Building, Smart Cities, Smart Home","Calgary, Alberta, Canada, North America",Non-equity Assistance,,2021-04-06,2021,,
268,Pre Seed Round - Bidmii,"Construction, Information Technology, Internet, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,1000000,2021-12-01,2021,Seed,1000000
